iter	RMSE
0	8.6708241
1	8.312455273
2	7.974631244
3	7.657643858
4	7.359272526
5	7.078101244
6	6.814572339
7	6.566264624
8	6.331943599
9	6.113074664
10	5.906269807
11	5.713643608
12	5.534486889
13	5.366115508
14	5.209133614
15	5.061307116
16	4.924916779
17	4.796655139
18	4.67644375
19	4.56397963
20	4.46120343
21	4.365482592
22	4.277383707
23	4.194146478
24	4.11842427
25	4.047309033
26	3.981949965
27	3.921726281
28	3.864174751
29	3.812063877
30	3.762129339
31	3.715630747
32	3.672820596
33	3.634753601
34	3.598879043
35	3.564696684
36	3.534035378
37	3.505194282
38	3.477449499
39	3.4529412
40	3.429910582
41	3.409493816
42	3.390166657
43	3.370884433
44	3.354255483
45	3.337767357
46	3.322818329
47	3.307943575
48	3.295359869
49	3.283854665
50	3.273457899
51	3.263020164
52	3.25336852
53	3.242804319
54	3.234282188
55	3.22628337
56	3.219069648
57	3.211669657
58	3.205468898
59	3.198003384
60	3.191904156
61	3.1852619
62	3.178398259
63	3.173198805
64	3.168656906
65	3.162393351
66	3.15843271
67	3.153491536
68	3.148142225
69	3.143015036
70	3.139329204
71	3.134140035
72	3.130554311
73	3.126738636
74	3.123748006
75	3.118214848
76	3.114888364
77	3.109928565
78	3.10697291
79	3.10313936
80	3.100119953
81	3.097541913
82	3.094961379
83	3.091884769
84	3.088852166
85	3.085167321
86	3.082480657
87	3.079806152
88	3.077342817
89	3.073858638
90	3.07201264
91	3.068635126
92	3.065262595
93	3.062065668
94	3.059976145
95	3.057400136
96	3.054782738
97	3.052645607
98	3.050553423
99	3.04899024
100	3.0457245
101	3.044041143
102	3.041877649
103	3.039546757
104	3.037805077
105	3.035582541
106	3.033662518
107	3.031994396
108	3.030426439
109	3.028172895
110	3.026565593
111	3.023731475
112	3.022188837
113	3.01925055
114	3.017655704
115	3.01566995
116	3.014129302
117	3.012471289
118	3.011062463
119	3.009292183
120	3.006709101
121	3.00546011
122	3.003208742
123	3.000469748
124	2.999254409
125	2.996854703
126	2.994288694
127	2.991798253
128	2.990424149
129	2.989021852
130	2.987278002
131	2.985678974
132	2.984528568
133	2.982436413
134	2.980496761
135	2.978450287
136	2.976554049
137	2.975205683
138	2.973414484
139	2.97156937
140	2.970335658
141	2.968093996
142	2.966015206
143	2.964077783
144	2.963114428
145	2.961817156
146	2.960687678
147	2.959273911
148	2.958385852
149	2.957258874
150	2.954878953
151	2.953096162
152	2.951325645
153	2.949767752
154	2.948425534
155	2.946561695
156	2.945303047
157	2.943590179
158	2.942630642
159	2.941740589
160	2.940672095
161	2.937967233
162	2.936761122
163	2.935476496
164	2.934316076
165	2.933310781
166	2.93169332
167	2.930380257
168	2.929681854
169	2.928467916
170	2.927074507
171	2.925614728
172	2.924451165
173	2.923534833
174	2.922271132
175	2.921422474
176	2.920223277
177	2.919118711
178	2.917411053
179	2.916221462
180	2.915317915
181	2.914179546
182	2.91298197
183	2.911855167
184	2.910271587
185	2.908475352
186	2.907221561
187	2.905828129
188	2.904759709
189	2.903756841
190	2.90283855
191	2.902022338
192	2.900577221
193	2.899639025
194	2.89876829
195	2.897783308
196	2.896581713
197	2.895552726
198	2.89432908
199	2.89336624
200	2.892141245
201	2.891249604
202	2.89058053
203	2.889481589
204	2.888662108
205	2.887532737
206	2.886531429
207	2.885374351
208	2.884669322
209	2.883677711
210	2.882976434
211	2.881631932
212	2.880677748
213	2.879639639
214	2.878165298
215	2.876815359
216	2.875675514
217	2.874531659
218	2.873578868
219	2.872788506
220	2.871746205
221	2.870573459
222	2.869927105
223	2.868943781
224	2.867910698
225	2.867238972
226	2.866491575
227	2.86557758
228	2.864696772
229	2.863816753
230	2.863206962
231	2.862345464
232	2.861382683
233	2.860118075
234	2.858994396
235	2.858261235
236	2.857395773
237	2.855844811
238	2.855176029
239	2.854337533
240	2.852582529
241	2.851764245
242	2.850831538
243	2.849947684
244	2.849123144
245	2.848325132
246	2.847220303
247	2.846403628
248	2.845574819
249	2.844656687
250	2.844237617
251	2.84361718
252	2.842378981
253	2.841528317
254	2.840309515
255	2.839463446
256	2.838913074
257	2.837428605
258	2.836775704
259	2.835928337
260	2.834995741
261	2.834219555
262	2.833366248
263	2.832108191
264	2.831420656
265	2.830563121
266	2.829351562
267	2.828645948
268	2.827685876
269	2.826791154
270	2.82597798
271	2.825095292
272	2.82425636
273	2.823466153
274	2.822606259
275	2.822053155
276	2.821497077
277	2.82090918
278	2.819806705
279	2.819098754
280	2.81804133
281	2.81739159
282	2.815641251
283	2.814108934
284	2.813038994
285	2.811922259
286	2.811427733
287	2.810707442
288	2.809880973
289	2.809324959
290	2.808623096
291	2.807898098
292	2.807066379
293	2.806288181
294	2.80567685
295	2.805052065
296	2.804344145
297	2.803623446
298	2.802831128
299	2.801936601
300	2.801321421
301	2.800449971
302	2.799804656
303	2.799232253
304	2.798870979
305	2.798321772
306	2.797524713
307	2.796842505
308	2.796141198
309	2.795453024
310	2.794859819
311	2.793956501
312	2.793299161
313	2.792590338
314	2.791601587
315	2.791018379
316	2.790460214
317	2.789333556
318	2.788703263
319	2.787688068
320	2.786999227
321	2.786200609
322	2.784734776
323	2.784040192
324	2.783452549
325	2.782787022
326	2.782106425
327	2.781498154
328	2.78103693
329	2.780546425
330	2.77977841
331	2.778720709
332	2.778108782
333	2.777559489
334	2.776907456
335	2.776283242
336	2.775729815
337	2.77451557
338	2.773734252
339	2.772823091
340	2.771824317
341	2.771201468
342	2.770529393
343	2.770073636
344	2.769568539
345	2.769230604
346	2.768498192
347	2.7679328
348	2.767248317
349	2.766537851
350	2.766027117
351	2.765310785
352	2.764511615
353	2.763890549
354	2.763366697
355	2.762782391
356	2.762289449
357	2.761773607
358	2.760859666
359	2.760075599
360	2.75951873
361	2.758947089
362	2.758137589
363	2.757288806
364	2.756646043
365	2.756150755
366	2.755501099
367	2.754576272
368	2.753836357
369	2.75322373
370	2.75235107
371	2.751801839
372	2.751262093
373	2.750430038
374	2.749915514
375	2.749296517
376	2.748672818
377	2.747970454
378	2.747562782
379	2.746975905
380	2.746153809
381	2.745653731
382	2.745067468
383	2.744279128
384	2.743492776
385	2.743014726
386	2.742333873
387	2.741853369
388	2.741165598
389	2.740623667
390	2.740067549
391	2.73965118
392	2.739109694
393	2.738656105
394	2.737480502
395	2.736912941
396	2.73635552
397	2.735977148
398	2.735321812
399	2.734734962
400	2.734138232
401	2.732903313
402	2.732242989
403	2.731466192
404	2.730941389
405	2.730282099
406	2.729419978
407	2.728945509
408	2.727950834
409	2.727339249
410	2.726686803
411	2.726199808
412	2.725796211
413	2.725253061
414	2.724668149
415	2.724224242
416	2.723246821
417	2.722435678
418	2.721824467
419	2.720950175
420	2.72053653
421	2.719996855
422	2.719238667
423	2.718869763
424	2.718293663
425	2.717775077
426	2.717027935
427	2.716038677
428	2.715074852
429	2.71465556
