iter	Passed	Remaining
0	3793	3790147
1	6291	3139672
2	8625	2866531
3	10989	2736272
4	13311	2648970
5	15578	2580821
6	17901	2539514
7	20181	2502484
8	22528	2480610
9	24826	2457857
10	27110	2437469
11	29443	2424216
12	31725	2408692
13	34062	2399001
14	36413	2391182
15	38722	2381411
16	41074	2375076
17	43460	2371028
18	45786	2364024
19	48127	2358230
20	50476	2353176
21	52831	2348584
22	55106	2340836
23	57411	2334719
24	59692	2327989
25	61990	2322254
26	64302	2317267
27	66586	2311495
28	68901	2307017
29	71207	2302363
30	73551	2299090
31	75896	2295871
32	78246	2292852
33	80647	2291326
34	82987	2288092
35	85407	2287020
36	87765	2284275
37	90106	2281126
38	92435	2277714
39	94827	2275859
40	97228	2274198
41	99554	2270791
42	101895	2267757
43	104310	2266377
44	106646	2263266
45	109001	2260602
46	111385	2258513
47	113842	2257870
48	116306	2257305
49	118685	2255017
50	121036	2252232
51	123372	2249171
52	125731	2246557
53	128082	2243816
54	130509	2242388
55	132944	2241056
56	135290	2238223
57	137613	2235031
58	139926	2231714
59	142412	2231125
60	144736	2227990
61	147148	2226212
62	149605	2225092
63	151937	2222085
64	154348	2220250
65	156954	2221150
66	159284	2218093
67	161692	2216141
68	164128	2214549
69	166529	2212465
70	168881	2209733
71	171252	2207254
72	173595	2204422
73	175966	2201954
74	178340	2199533
75	180702	2196967
76	183194	2195954
77	185602	2193918
78	187993	2191675
79	190556	2191397
80	192972	2189407
81	195365	2187136
82	197730	2184565
83	200128	2182356
84	202484	2179682
85	204967	2178374
86	207485	2177405
87	209829	2174598
88	212212	2172195
89	214561	2169451
90	216892	2166542
91	219241	2163813
92	221899	2164114
93	224316	2162027
94	226658	2159224
95	229034	2156743
96	231539	2155461
97	234043	2154152
98	236402	2151505
99	238740	2148663
100	241119	2146205
101	243425	2143101
102	245741	2140100
103	248184	2138201
104	250536	2135524
105	252923	2133146
106	255319	2130844
107	257712	2128514
108	260003	2125347
109	262610	2124755
110	265067	2122930
111	267436	2120392
112	269796	2117780
113	272178	2115353
114	274538	2112749
